iter	Passed	Remaining
627	13202	7820
628	13224	7800
629	13245	7779
630	13266	7758
631	13287	7737
632	13308	7715
633	13331	7695
634	13349	7673
635	13371	7652
636	13393	7632
637	13414	7611
638	13435	7590
639	13455	7568
640	13475	7547
641	13500	7528
642	13522	7507
643	13543	7486
644	13563	7464
645	13583	7443
646	13605	7423
647	13626	7402
648	13648	7381
649	13669	7360
650	13690	7339
651	13711	7318
652	13733	7297
653	13754	7276
654	13775	7255
655	13797	7235
656	13819	7214
657	13840	7193
658	13863	7173
659	13886	7153
660	13910	7134
661	13933	7114
662	13956	7094
663	13982	7075
664	14006	7056
665	14029	7035
666	14053	7016
667	14077	6996
668	14101	6976
669	14124	6956
670	14145	6935
671	14168	6915
672	14192	6896
673	14215	6875
674	14241	6856
675	14262	6835
676	14284	6815
677	14307	6795
678	14327	6773
679	14347	6751
680	14369	6731
681	14391	6710
682	14412	6689
683	14434	6668
684	14456	6647
685	14478	6626
686	14502	6607
687	14524	6586
688	14549	6567
689	14575	6548
690	14601	6529
691	14627	6510
692	14650	6490
693	14677	6471
694	14704	6453
695	14728	6433
696	14756	6414
697	14779	6394
698	14803	6374
699	14824	6353
700	14845	6332
701	14867	6311
702	14888	6290
703	14910	6269
704	14931	6248
705	14951	6226
706	14970	6204
707	14993	6183
708	15015	6162
709	15036	6141
710	15057	6120
711	15078	6099
712	15099	6077
713	15119	6056
714	15140	6035
715	15162	6014
716	15182	5992
717	15200	5970
718	15225	5950
719	15260	5934
720	15286	5915
721	15310	5895
722	15334	5875
723	15358	5854
724	15382	5834
725	15404	5813
726	15430	5794
727	15454	5774
728	15477	5753
729	15498	5732
730	15519	5711
731	15540	5689
732	15563	5668
733	15584	5647
734	15606	5626
735	15628	5605
736	15649	5584
737	15669	5562
738	15690	5541
739	15713	5520
740	15735	5499
741	15756	5478
742	15777	5457
743	15800	5436
744	15821	5415
745	15842	5394
746	15864	5373
747	15886	5352
748	15908	5331
749	15930	5310
750	15969	5294
751	16006	5278
752	16030	5258
753	16052	5237
754	16079	5217
755	16103	5197
756	16126	5176
757	16147	5155
758	16169	5134
759	16191	5113
760	16212	5091
761	16232	5070
762	16254	5048
763	16275	5027
764	16297	5006
765	16319	4985
766	16340	4963
767	16361	4942
768	16381	4920
769	16402	4899
770	16423	4878
771	16443	4856
772	16465	4835
773	16486	4813
774	16508	4792
775	16530	4771
776	16550	4749
777	16572	4728
778	16596	4708
779	16620	4687
780	16647	4668
781	16671	4647
782	16697	4627
783	16721	4607
784	16748	4587
785	16769	4565
786	16794	4545
787	16818	4524
788	16841	4503
789	16860	4481
790	16882	4460
791	16904	4439
792	16926	4418
793	16947	4397
794	16970	4376
795	16992	4354
796	17013	4333
797	17034	4311
798	17053	4289
799	17073	4268
800	17094	4246
801	17116	4225
802	17138	4204
803	17158	4182
804	17181	4161
805	17203	4140
806	17225	4119
807	17246	4098
808	17268	4076
809	17292	4056
810	17328	4038
811	17356	4018
812	17380	3997
813	17404	3977
814	17430	3956
815	17455	3935
816	17478	3914
817	17501	3894
818	17525	3873
819	17548	3852
820	17570	3830
821	17593	3809
822	17615	3788
823	17637	3767
824	17677	3749
825	17710	3730
826	17736	3710
827	17760	3689
828	17781	3667
829	17805	3646
830	17829	3625
831	17851	3604
832	17873	3583
833	17894	3561
834	17916	3540
835	17937	3518
836	17959	3497
837	17981	3476
838	18002	3454
839	18024	3433
840	18047	3412
841	18066	3390
842	18089	3369
843	18114	3348
844	18137	3326
845	18158	3305
846	18184	3284
847	18210	3264
848	18236	3243
849	18261	3222
850	18289	3202
851	18314	3181
852	18339	3160
853	18364	3139
854	18387	3118
855	18409	3096
856	18434	3075
857	18455	3054
858	18476	3032
859	18498	3011
860	18519	2989
861	18541	2968
862	18563	2946
863	18584	2925
864	18606	2903
865	18628	2882
866	18649	2860
867	18670	2839
868	18692	2817
869	18713	2796
870	18733	2774
871	18755	2753
872	18775	2731
873	18796	2709
874	18817	2688
875	18840	2666
876	18862	2645
877	18883	2623
878	18904	2602
879	18927	2581
880	18948	2559
881	18971	2538
882	18993	2516
883	19015	2495
884	19035	2473
885	19058	2452
886	19080	2430
887	19102	2409
888	19124	2387
889	19146	2366
890	19167	2344
891	19189	2323
892	19210	2301
893	19230	2280
894	19251	2258
895	19273	2237
896	19294	2215
897	19314	2193
898	19335	2172
899	19357	2150
900	19378	2129
901	19400	2107
902	19422	2086
903	19444	2064
904	19465	2043
905	19487	2021
906	19509	2000
907	19531	1978
908	19551	1957
909	19573	1935
910	19596	1914
911	19618	1892
912	19639	1871
913	19661	1849
914	19683	1828
915	19704	1806
916	19726	1785
917	19746	1763
918	19766	1742
919	19787	1720
920	19809	1699
921	19832	1677
922	19854	1656
923	19875	1634
924	19897	1613
925	19919	1591
926	19941	1570
927	19963	1548
928	19984	1527
929	20005	1505
930	20026	1484
931	20046	1462
932	20069	1441
933	20092	1419
934	20113	1398
935	20136	1376
936	20158	1355
937	20180	1333
938	20201	1312
939	20223	1290
940	20244	1269
941	20265	1247
942	20287	1226
943	20308	1204
944	20329	1183
945	20350	1161
946	20374	1140
947	20395	1118
948	20416	1097
949	20438	1075
950	20460	1054
951	20481	1032
952	20502	1011
953	20524	989
954	20545	968
955	20568	946
956	20590	925
957	20612	903
958	20633	882
959	20655	860
960	20676	839
961	20697	817
962	20734	796
963	20768	775
964	20792	754
965	20813	732
966	20873	712
967	20936	692
968	20976	671
969	21011	649
970	21045	628
971	21068	606
972	21088	585
973	21106	563
974	21128	541
975	21149	520
976	21172	498
977	21194	476
978	21216	455
979	21238	433
980	21259	411
981	21281	390
982	21301	368
983	21322	346
984	21342	325
985	21386	303
986	21404	281
987	21425	260
988	21447	238
989	21470	216
990	21491	195
991	21515	173
992	21536	151
993	21557	130
994	21579	108
995	21600	86
996	21621	65
997	21643	43
998	21663	21
999	21684	0
